epoch,lr,target_pos_x,target_pos_y,total,pulse,silence,contrast,efficiency,pre_pulse,frequency,frequency_loss,target_peak,sidelobe_peak,total_energy,trajectory_length,trajectory_penalty,jerk,jerk_penalty,trajectory_region,trajectory_region_penalty,target_band_power,off_band_power
34,0.001,0.05,0.05,0.5979629755020142,-1.213733196258545,0.00010874342842726037,0.17463147640228271,0.0111748818308115,0.0014989008195698261,0.2128296047449112,0.004256592132151127,0.0012137332232668996,0.0023531813640147448,1.6574007588587847e-07,0.11325818300247192,0.011325818486511707,9.634324271701189e-08,9.634324449336873e-10,0.028002534061670303,1.4001266956329346,0.1233687773346901,0.0005251305992715061
35,0.001,0.05,0.05,0.5753673315048218,-1.233535647392273,0.000109421722299885,0.1668059527873993,0.010918927378952503,0.0015395847149193287,0.2199164777994156,0.004398329649120569,0.0012335357023403049,0.002284827409312129,1.672354130732856e-07,0.10717321932315826,0.010717322118580341,8.838669174338065e-08,8.838669240951447e-10,0.02797790616750717,1.398895263671875,0.1235014870762825,0.0005432002944871783
36,0.001,0.05,0.05,0.5391858220100403,-1.2572417259216309,0.00011016730422852561,0.15466313064098358,0.010623503476381302,0.0015890030190348625,0.22160737216472626,0.004432147368788719,0.001257241703569889,0.0021752521861344576,1.6898346189009317e-07,0.0995626300573349,0.00995626300573349,8.002908202797698e-08,8.002907780912949e-10,0.02795756421983242,1.3978781700134277,0.12270156294107437,0.000543831440154463
37,0.001,0.05,0.05,0.5102044343948364,-1.2856556177139282,0.00011126107710879296,0.1529061645269394,0.01030037086457014,0.0016524151433259249,0.22469353675842285,0.00449387077242136,0.0012856556568294764,0.0021718894131481647,1.7128594720361434e-07,0.09182819724082947,0.009182820096611977,7.300628368511752e-08,7.300628435125134e-10,0.02794027142226696,1.397013545036316,0.12345002591609955,0.0005547684850171208
38,0.001,0.05,0.05,0.46883881092071533,-1.3199076652526855,0.00011390283179935068,0.15565164387226105,0.010023362003266811,0.0017196335829794407,0.21657240390777588,0.0043314481154084206,0.0013199077220633626,0.002216470194980502,1.7562499010637111e-07,0.08567093312740326,0.00856709387153387,6.877507985336706e-08,6.877508007541167e-10,0.027921970933675766,1.3960984945297241,0.12658783793449402,0.000548308715224266
39,0.001,0.05,0.05,0.44606703519821167,-1.3490594625473022,0.000116758506919723,0.16290488839149475,0.00983292143791914,0.0017667720094323158,0.2169918566942215,0.0043398370034992695,0.001349059515632689,0.002303578658029437,1.7993866663346125e-07,0.08279174566268921,0.008279174566268921,6.749365866198787e-08,6.749365510927419e-10,0.027904681861400604,1.3952341079711914,0.12875598669052124,0.0005587800405919552
40,0.001,0.05,0.05,0.43552112579345703,-1.3583695888519287,0.00011630360677372664,0.15956227481365204,0.009649633429944515,0.0017678671283647418,0.21972905099391937,0.004394581075757742,0.0013583695981651545,0.0022748075425624847,1.790169079640691e-07,0.0847921371459961,0.008479214273393154,7.173950677952234e-08,7.173950322680867e-10,0.027891725301742554,1.3945863246917725,0.12746381759643555,0.0005601501325145364
41,0.001,0.05,0.05,0.44669103622436523,-1.3511104583740234,0.00011471599282231182,0.15399910509586334,0.009595579467713833,0.0017347532557323575,0.22950579226016998,0.00459011597558856,0.0013511104043573141,0.0022155463229864836,1.7612680380807433e-07,0.08875009417533875,0.00887500960379839,7.882188413077529e-08,7.882188235441845e-10,0.02787953056395054,1.3939765691757202,0.12438134849071503,0.0005709248362109065
42,0.001,0.05,0.05,0.452248752117157,-1.344552755355835,0.00011377892951713875,0.15071283280849457,0.009583408944308758,0.001712727709673345,0.23227031528949738,0.0046454062685370445,0.0013445527292788029,0.0021794047206640244,1.742093189704974e-07,0.09189106523990631,0.009189106523990631,8.70786180939831e-08,8.707861653967086e-10,0.02786438912153244,1.3932194709777832,0.12523721158504486,0.0005817777710035443
43,0.001,0.05,0.05,0.45051759481430054,-1.3420050144195557,0.00011293829447822645,0.14390987157821655,0.009537463076412678,0.0017104470171034336,0.2354171872138977,0.004708343651145697,0.0013420049799606204,0.002110101282596588,1.727212861624139e-07,0.09337905049324036,0.00933790486305952,9.597256678262056e-08,9.597256322990688e-10,0.027849938720464706,1.392496943473816,0.12752516567707062,0.000600432395003736
44,0.001,0.05,0.05,0.4421781897544861,-1.342716932296753,0.00011197326239198446,0.1384822130203247,0.009452829137444496,0.0017194550018757582,0.23383134603500366,0.004676626995205879,0.001342716976068914,0.0020561807323247194,1.7136927965566429e-07,0.09350266307592392,0.009350266307592392,1.0509060643926205e-07,1.0509060288654837e-09,0.027838941663503647,1.3919470310211182,0.128842294216156,0.0006025474285706878
45,0.001,0.05,0.05,0.4297422170639038,-1.3483846187591553,0.00011151393846375868,0.1365852802991867,0.009352181106805801,0.0017384737730026245,0.22948244214057922,0.0045896489173173904,0.0013483846560120583,0.002040045103058219,1.709710772956896e-07,0.09325122088193893,0.009325122460722923,1.1405346356241353e-07,1.1405345556880775e-09,0.027830639854073524,1.3915319442749023,0.12858295440673828,0.000590150710195303
